ID,Country,Data,Value,Mesh,FlagMaterial,lon,lat,x,y,z
320,Chad,Military,0.736384781282633,military_mesh,chad_flag,15.0444,12.10672,6037.19687244,1622.67734358,1340.96512396
323,Chile,Military,1.3787190919229,military_mesh,chile_flag,-70.673676,-33.447487,1765.5488199,-5034.20020291,-3524.01489543
20,China,Military,0.342417871314973,military_mesh,china_flag,116.363625,39.913818,-2177.70692068,4393.96423959,4102.40004516
326,Colombia,Military,1.84893888740074,military_mesh,columbia_flag,-74.063644,4.624335,1749.79158714,-6127.93057227,515.472215282
359,Egypt,Military,2.74214421630585,military_mesh,egypt_flag,31.340002,30.044281,4727.08628957,2878.63576635,3201.11334341
367,Ethiopia,Military,0.277881838037739,military_mesh,ethiopia_flag,38.763611,9.005401,4923.92139168,3953.78825779,1000.7856128
373,France,Military,1.00907534875404,military_mesh,france_flag,2.349014,48.864716,4202.47228989,172.389675825,4815.44637122
379,Germany,Military,0.412979119766481,military_mesh,germany_flag,13.404954,52.520008,3784.45608579,901.930409246,5073.79827873
25,India,Military,0.581367457427625,military_mesh,india_flag,77.216721,28.6448,1241.5424188,5472.0606824,3064.98607046
403,Indonesia,Military,0.538746896094099,military_mesh,indonesia_flag,107.60981,-6.914744,-1920.22740224,6049.72966741,-769.748645093
406,Iran,Military,2.07250017918108,military_mesh,iran_flag,51.404343,35.715298,3238.37478379,4057.27274175,3732.35608704
415,Israel,Military,4.66245234885252,military_mesh,israel_flag,35.217018,31.771959,4440.72695438,3134.56402427,3366.52161675
424,Japan,Military,0.390295181432056,military_mesh,japan_flag,139.839478,35.652832,-3970.43138573,3350.58800988,3726.69423228
427,Jordan,Military,4.85671022848404,military_mesh,jordan_flag,35.930359,31.963158,4392.23679263,3182.9973469,3384.64165737
433,Kenya,Military,0.155216092804502,military_mesh,kenya_flag,36.87426,-1.291514,5113.34452701,3835.61673778,-144.108607072
443,Kuwait,Military,1.01385891300866,military_mesh,kuwait_flag,47.990341,29.378586,3728.70974918,4139.7480416,3136.59450042
469,Malaysia,Military,0.883517887831452,military_mesh,malaysia_flag,101.68653,3.1412,-1293.13727472,6251.72489868,350.352795859
479,Mexico,Military,0.589655644963607,military_mesh,mexico_flag,-99.133209,19.432608,-957.055884141,-5953.003256,2127.16044773
486,Mongolia,Military,1.37926686055218,military_mesh,mongolia_flag,106.918556,47.92123,-1246.90762762,4099.28275796,4745.53659138
515,Nigeria,Military,0.348720898717921,military_mesh,nigeria_flag,7.491302,9.072264,6259.7973145,823.151207405,1008.15424059
435,North Korea,Military,9.09261181034334,military_mesh,north_korea_flag,125.75432,39.03385,-2901.94290341,4030.41205762,4026.60171022
523,Pakistan,Military,1.36819266398428,military_mesh,pakistan_flag,73.084488,33.738045,1547.00689028,5086.84753989,3551.02338616
535,Peru,Military,0.90115802227982,military_mesh,peru_flag,-77.042793,-12.046374,1402.03997467,-6093.66301444,-1334.38010986
538,Philippines,Military,0.378253292574922,military_mesh,phillipines_flag,120.984222,14.599512,-3185.19677464,5304.36579551,1611.59558076
541,Poland,Military,0.969905053145523,military_mesh,poland_flag,21.017532,52.237049,3654.96526299,1404.29304758,5054.52324799
553,Russian Federation,Military,1.90808610145359,military_mesh,russia_flag,37.618423,55.751244,2850.1693006,2196.38616502,5285.02015831
559,Saudi Arabia,Military,1.87248322247587,military_mesh,saudi_arabia_flag,46.738586,24.774265,3978.48955626,4227.57112504,2679.23095964
568,Singapore,Military,4.52264770994998,military_mesh,singapore_flag,103.851959,1.29027,-1530.34621648,6206.15246745,143.969823608
439,South Korea,Military,2.28721141452698,military_mesh,south_korea_flag,127.024612,37.5326,-3053.0760934,4047.94982143,3895.10512216
584,Sri Lanka,Military,3.53645919091793,military_mesh,sri_lanka_flag,79.861244,6.927079,1117.27889173,6247.88641902,771.115085293
596,Syria,Military,6.42474792005315,military_mesh,syria_flag,36.278336,33.510414,4297.55574475,3154.36747701,3529.87191587
605,Thailand,Military,1.16562283737601,military_mesh,thailand_flag,100.523186,13.736717,-1134.29823377,6106.33392082,1518.24532471
616,Turkey,Military,1.66506539625646,military_mesh,turkey_flag,28.97953,41.015137,4220.2243546,2337.33792364,4195.89956138
625,Ukraine,Military,1.40585023390796,military_mesh,ukraine_flag,30.5238,50.45466,3506.64161736,2067.53227616,4930.29311057
631,United Kingdom,Military,0.445931813775788,military_mesh,united_kingdom_flag,-0.118092,51.509865,3979.28308097,-8.20168897287,5004.42346285
30,United States,Military,0.829087136264843,military_mesh,united_states_flag,-77.009003,38.889931,1118.71492482,-4849.1628984,4014.11402472
642,Venezuela,Military,1.88449352441776,military_mesh,venezuela_flag,-66.916664,10.5,2464.7874866,-5783.27368942,1165.15380134
655,Zimbabwe,Military,0.644063911425491,military_mesh,zimbabwe_flag,31.053028,-17.824858,5214.46160254,3139.73670279,-1957.15582786
259,Algeria,Population,40606052,population_mesh,algeria_flag.algeria_flag,3.082667,36.726017,5117.13794186,275.581743556,3823.34530068
3,Argentina,Population,43847430,population_mesh,argentina_flag,-58.381592,-34.603722,2758.98199877,-4481.4344713,-3630.94735731
8,Australia,Population,24210809,population_mesh,australia_flag,149.082977,-35.343784,-4474.26097049,2679.5957585,-3698.61739581
279,Bangladesh,Population,162951560,population_mesh,bangladesh_flag,90.393791,23.728783,-40.2281058736,5853.01439524,2572.86212033
13,Brazil,Population,207652865,population_mesh,brazil_flag,-46.62529,-23.533773,4025.74120502,-4260.86770709,-2552.92566177
312,Canada,Population,36264604,population_mesh,canada_flag,-75.692482,-75.692482,390.469980554,-1531.03539196,-6195.35948307
318,Chad,Population,14452543,population_mesh,chad_flag,15.0444,12.10672,6037.19687244,1622.67734358,1340.96512396
321,Chile,Population,17909754,population_mesh,chile_flag,-70.673676,-33.447487,1765.5488199,-5034.20020291,-3524.01489543
18,China,Population,1378665000,population_mesh,china_flag,116.363625,39.913818,-2177.70692068,4393.96423959,4102.40004516
324,Colombia,Population,48653419,population_mesh,columbia_flag,-74.063644,4.624335,1749.79158714,-6127.93057227,515.472215282
357,Egypt,Population,95688681,population_mesh,egypt_flag,31.340002,30.044281,4727.08628957,2878.63576635,3201.11334341
365,Ethiopia,Population,102403196,population_mesh,ethiopia_flag,38.763611,9.005401,4923.92139168,3953.78825779,1000.7856128
371,France,Population,66892205,population_mesh,france_flag,2.349014,48.864716,4202.47228989,172.389675825,4815.44637122
377,Germany,Population,82487842,population_mesh,germany_flag,13.404954,52.520008,3784.45608579,901.930409246,5073.79827873
23,India,Population,1324171354,population_mesh,india_flag,77.216721,28.6448,1241.5424188,5472.0606824,3064.98607046
401,Indonesia,Population,261115456,population_mesh,indonesia_flag,107.60981,-6.914744,-1920.22740224,6049.72966741,-769.748645093
404,Iran,Population,80277428,population_mesh,iran_flag,51.404343,35.715298,3238.37478379,4057.27274175,3732.35608704
413,Israel,Population,8546000,population_mesh,israel_flag,35.217018,31.771959,4440.72695438,3134.56402427,3366.52161675
422,Japan,Population,126994511,population_mesh,japan_flag,139.839478,35.652832,-3970.43138573,3350.58800988,3726.69423228
425,Jordan,Population,9455802,population_mesh,jordan_flag,35.930359,31.963158,4392.23679263,3182.9973469,3384.64165737
431,Kenya,Population,48461567,population_mesh,kenya_flag,36.87426,-1.291514,5113.34452701,3835.61673778,-144.108607072
441,Kuwait,Population,4052584,population_mesh,kuwait_flag,47.990341,29.378586,3728.70974918,4139.7480416,3136.59450042
467,Malaysia,Population,31187265,population_mesh,malaysia_flag,101.68653,3.1412,-1293.13727472,6251.72489868,350.352795859
477,Mexico,Population,127540423,population_mesh,mexico_flag,-99.133209,19.432608,-957.055884141,-5953.003256,2127.16044773
484,Mongolia,Population,3027398,population_mesh,mongolia_flag,106.918556,47.92123,-1246.90762762,4099.28275796,4745.53659138
513,Nigeria,Population,185989640,population_mesh,nigeria_flag,7.491302,9.072264,6259.7973145,823.151207405,1008.15424059
434,North Korea,Population,25368620,population_mesh,north_korea_flag,125.75432,39.03385,-2901.94290341,4030.41205762,4026.60171022
521,Pakistan,Population,193203476,population_mesh,pakistan_flag,73.084488,33.738045,1547.00689028,5086.84753989,3551.02338616
533,Peru,Population,31773839,population_mesh,peru_flag,-77.042793,-12.046374,1402.03997467,-6093.66301444,-1334.38010986
536,Philippines,Population,103320222,population_mesh,phillipines_flag,120.984222,14.599512,-3185.19677464,5304.36579551,1611.59558076
539,Poland,Population,37970087,population_mesh,poland_flag,21.017532,52.237049,3654.96526299,1404.29304758,5054.52324799
551,Russian Federation,Population,144342396,population_mesh,russia_flag,37.618423,55.751244,2850.1693006,2196.38616502,5285.02015831
557,Saudi Arabia,Population,32275687,population_mesh,saudi_arabia_flag,46.738586,24.774265,3978.48955626,4227.57112504,2679.23095964
566,Singapore,Population,5607283,population_mesh,singapore_flag,103.851959,1.29027,-1530.34621648,6206.15246745,143.969823608
437,South Korea,Population,51245707,population_mesh,south_korea_flag,127.024612,37.5326,-3053.0760934,4047.94982143,3895.10512216
582,Sri Lanka,Population,21203000,population_mesh,sri_lanka_flag,79.861244,6.927079,1117.27889173,6247.88641902,771.115085293
594,Syria,Population,18430453,population_mesh,syria_flag,36.278336,33.510414,4297.55574475,3154.36747701,3529.87191587
603,Thailand,Population,68863514,population_mesh,thailand_flag,100.523186,13.736717,-1134.29823377,6106.33392082,1518.24532471
614,Turkey,Population,79512426,population_mesh,turkey_flag,28.97953,41.015137,4220.2243546,2337.33792364,4195.89956138
623,Ukraine,Population,45004645,population_mesh,ukraine_flag,30.5238,50.45466,3506.64161736,2067.53227616,4930.29311057
629,United Kingdom,Population,65595565,population_mesh,united_kingdom_flag,-0.118092,51.509865,3979.28308097,-8.20168897287,5004.42346285
28,United States,Population,323127513,population_mesh,united_states_flag,-77.009003,38.889931,1118.71492482,-4849.1628984,4014.11402472
640,Venezuela,Population,31568179,population_mesh,venezuela_flag,-66.916664,10.5,2464.7874866,-5783.27368942,1165.15380134
653,Zimbabwe,Population,16150362,population_mesh,zimbabwe_flag,31.053028,-17.824858,5214.46160254,3139.73670279,-1957.15582786
